lake,year,year_group,SL,count,mean_length_mm,mean_width_mm,sex
Croche,2022,2021–2023,39.52,21,0.7778642322097378,0.11463295880149811,M
Croche,2022,2021–2023,44.69,22,0.8916176561979177,0.16802540069942318,F
Sutherland,2022,2021–2023,49.32,20,1.631352764265766,0.16350664489679084,M
Sutherland,2022,2021–2023,53.83,20,1.4111431316042267,0.19482503890209033,M
Rond,2022,2021–2023,43.14,20,1.5216719193871266,0.19733749805714887,F
Rond,2022,2021–2023,55.08,23,1.9329096389982587,0.18303193215529842,M
Rond,2022,2021–2023,NA,22,1.4207197008876067,0.18205517183256142,U
Rond,2022,2021–2023,38.16,21,1.079776753963258,0.11922920508292342,F
Rond,2022,2021–2023,50.44,20,1.3334105448306903,0.16737851900815243,F
Rond,2022,2021–2023,39.92,22,1.1834794586846855,0.1313797211518773,F
Rond,2022,2021–2023,38.1,21,1.004716656145898,0.14061519496939667,M
Temiscouata,2022,2021–2023,36.6,22,0.7285339833222539,0.12732358728733792,F
Temiscouata,2022,2021–2023,57.07,22,1.3572956685499058,0.1606120527306968,M
Temiscouata,2022,2021–2023,54.63,21,1.2845770494162785,0.17825255736130874,M
Temiscouata,2022,2021–2023,59.4,20,1.4794302441743425,0.21600103194801842,M
Temiscouata,2022,2021–2023,53.57,20,1.2383305084745764,0.1604623352165725,F
Temiscouata,2022,2021–2023,48.29,20,1.3636166765059519,0.1582477221348142,M
Foin,2023,2021–2023,53.48,20,1.338237772946349,0.18166044326610917,M
Croche,2023,2021–2023,58.72,22,1.310957064757848,0.21753868578498672,F
Croche,2023,2021–2023,49.01,21,1.2996231487215661,0.21229566394234017,M
Croche,2023,2021–2023,53.07,21,1.2982003968253968,0.1889484126984127,F
Croche,2023,2021–2023,49.09,22,1.0597172850582808,0.23609896537234104,M
Croche,2023,2021–2023,54.53,22,1.243082741254552,0.2000673986913421,F
Croche,2023,2021–2023,58.46,20,1.108804117174983,0.19625695787149824,F
Croche,2022,2021–2023,52.39,24,1.0918522221685685,0.15532692706454462,F
Croche,2022,2021–2023,51.84,20,1.1456502987729997,0.20691604341416442,F
Croche,2023,2021–2023,56.13,22,1.358915475359887,0.15466038458894854,M
Croche,2023,2021–2023,56.67,20,1.0902272727272728,0.19580776515151516,F
Croche,2023,2021–2023,52.02,19,1.3813166070234772,0.1806411502427862,M
Croche,2023,2021–2023,49.86,21,1.0253941564112448,0.15906378192774,F
Croche,2023,2021–2023,52.49,22,1.1334834259984115,0.15451925586037574,M
Croche,2023,2021–2023,55.39,22,1.2160824910181456,0.15885619373912188,F
Croche,2023,2021–2023,49.57,20,1.3900461207453474,0.1355309503345299,M
Croche,2023,2021–2023,54.74,23,1.0603302913986967,0.16576613727024261,M
Croche,2023,2021–2023,53.54,22,1.1329618207114542,0.22740823132652851,F
Croche,2023,2021–2023,49.28,22,1.3034872511642794,0.15238755400002651,M
Croche,2023,2021–2023,52.73,20,1.2624503723088671,0.1784673197666058,M
Croche,2023,2021–2023,52.4,23,1.1398418079096044,0.1720668549905838,M
Croche,2023,2021–2023,50.78,21,1.110262570710393,0.19744139189485505,M
Temiscouata,2025,2025,44.18,19,1.0559517792628368,0.08807304243649501,F
Foin,2025,2025,49.42,21,1.1262866666666667,0.1712847619047619,F
Rond,2025,2025,57.82,21,1.4419498438058416,0.19511677990048756,F
Rond,2025,2025,51.61,24,1.56475944787998,0.15451016896401346,F
Rond,2025,2025,64.04,20,1.7269054779975692,0.28047510476576626,F
